threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
0.05,0.4445,0.2647058823529412,0.972972972972973,0.4161849710982659,0.8696115221538949,493,1100,11,396,0.6905210295036469,0.027027027026960623
0.1,0.6315,0.3466542750929368,0.9164619164619164,0.5030343897505057,0.8696115221538949,890,703,34,373,0.44130571249187617,0.08353808353787828
0.15,0.739,0.4274905422446406,0.8329238329238329,0.565,0.8696115221538949,1139,454,68,339,0.28499686126786883,0.16707616707575657
0.2,0.8025,0.509771986970684,0.769041769041769,0.6131243878550441,0.8696115221538949,1292,301,94,313,0.1889516635278161,0.2309582309576635
0.25,0.836,0.579476861167002,0.7076167076167076,0.6371681415929203,0.8696115221538949,1384,209,119,288,0.1311989956056929,0.292383292382574
0.3,0.849,0.6271186440677966,0.6363636363636364,0.6317073170731707,0.8696115221538949,1439,154,148,259,0.09667294413051056,0.3636363636354702
0.35,0.856,0.660377358490566,0.601965601965602,0.6298200514138818,0.8696115221538949,1467,126,162,245,0.07909604519769046,0.39803439803342006
0.39999999999999997,0.864,0.7129337539432177,0.5552825552825553,0.6243093922651933,0.8696115221538949,1502,91,181,226,0.05712492153166533,0.44471744471635205
0.44999999999999996,0.866,0.7527272727272727,0.5085995085995086,0.6070381231671554,0.8696115221538949,1525,68,200,207,0.042686754551134534,0.49140049139928405
0.49999999999999994,0.8695,0.7896825396825397,0.48894348894348894,0.6039453717754173,0.8696115221538949,1540,53,208,199,0.03327055869426662,0.5110565110552554
0.5499999999999999,0.8655,0.8136363636363636,0.4398034398034398,0.5709728867623605,0.8696115221538949,1552,41,228,179,0.025737602008772294,0.5601965601951838
0.6,0.8625,0.851063829787234,0.3931203931203931,0.5378151260504201,0.8696115221538949,1565,28,247,160,0.017576898932820103,0.6068796068781158
0.65,0.863,0.8982035928143712,0.36855036855036855,0.5226480836236934,0.8696115221538949,1576,17,257,150,0.010671688637783634,0.63144963144808
0.7,0.857,0.9115646258503401,0.32923832923832924,0.48375451263537905,0.8696115221538949,1580,13,273,134,0.00816070307595219,0.6707616707600227
0.75,0.8475,0.9047619047619048,0.2800982800982801,0.4277673545966229,0.8696115221538949,1581,12,293,114,0.00753295668549433,0.7199017198999511
0.7999999999999999,0.8405,0.9230769230769231,0.23587223587223588,0.37573385518590996,0.8696115221538949,1585,8,311,96,0.005021971123662886,0.7641277641258867
0.85,0.8355,0.9431818181818182,0.20393120393120392,0.33535353535353535,0.8696115221538949,1588,5,324,83,0.003138731952289304,0.7960687960668401
0.9,0.826,1.0,0.14496314496314497,0.2532188841201717,0.8696115221538949,1593,0,348,59,0.0,0.8550368550347542
0.95,0.8085,1.0,0.05896805896805897,0.11136890951276102,0.8696115221538949,1593,0,383,24,0.0,0.941031941029629
