feature,importance
Age,0.38807099377427273
NumOfProducts,0.2823084633125565
Engagement_Product_Interaction,0.07353309191363125
Geography_Germany,0.05981834253646494
Balance,0.05876583528867844
IsActiveMember,0.054413511840543084
Balance_to_Salary,0.028067458028479732
CreditScore,0.01843872549258485
EstimatedSalary,0.014958397074430585
Gender_Male,0.01328654700505446
Product_Density,0.00439654894006475
Tenure,0.0026425488407603487
HasCrCard,0.0009349980801837632
Geography_Spain,0.00036453787229448687
Year,0.0
