feature,perm_importance_mean,perm_importance_std
Age,0.12359979393877688,0.0057719821775640105
NumOfProducts,0.11154243611870718,0.009768667559790197
Geography,0.01761969982308954,0.0016286273728531757
Balance,0.013214524231473335,0.001785665531109639
IsActiveMember,0.010184992388382118,0.001943316779087261
Engagement_Product_Interaction,0.009824616604277558,0.0017946758620296242
Balance_to_Salary,0.009785440293914783,0.0022536857355777264
Gender,0.008420207572749782,0.001698298149100177
CreditScore,0.002601600059227083,0.000773324160692942
Product_Density,0.0005218623862690563,0.0006903494633916401
EstimatedSalary,0.00022850277087551606,0.0012506925350559658
Year,0.0,0.0
Tenure,-6.169497695018844e-06,0.00026243014715776863
HasCrCard,-0.0001954959582079363,0.00022033757975956707
