feature,mean_abs_shap
NumOfProducts,0.7779597849732064
Age,0.7324841332838365
Geography_Germany,0.2474330811917996
Gender_Male,0.20351276204395413
IsActiveMember,0.17878260750605515
Engagement_Product_Interaction,0.16103285929694808
Balance_to_Salary,0.15623824324194122
Balance,0.09237198034994334
EstimatedSalary,0.06952842335905644
CreditScore,0.05231298150258611
Product_Density,0.025551492339312625
HasCrCard,0.01425732314131782
Tenure,0.012965231212658716
Geography_Spain,0.012255576148636442
Year,0.0
